date,equity,positions,cash
20230321,17417328.08,5,5506527.14
20230322,17963291.58,5,5507073.42
20230323,18319408.36,5,5507619.76
20230324,18146014.64,5,5508166.15
20230327,18476120.26,5,5508712.60
20230328,18317049.30,5,5509259.09
20230329,18687701.42,5,5509805.65
20230330,18639675.05,5,5510352.26
20230331,19099827.62,5,5510898.92
20230403,20015972.40,5,5511445.63
20230404,20237254.62,5,5511992.40
20230406,21332182.00,5,5512539.23
20230407,21806032.21,5,5513086.11
20230410,21815266.38,5,5513633.04
20230411,21864845.39,5,5514180.03
20230412,21907618.39,5,5514727.07
20230413,21397575.87,5,5515274.17
20230414,22579365.11,5,5515821.32
20230417,22645043.30,5,5516368.52
20230418,23430554.11,5,5516915.78
20230419,23444042.67,5,5517463.09
20230420,23976844.13,5,5518010.46
20230421,22869198.62,5,5518557.88
20230424,23000877.69,5,5519105.36
20230425,22332613.71,5,5519652.89
20230426,21601704.85,5,5741024.86
20230427,20928384.11,4,10942413.28
20230428,20939173.45,4,10943498.83
20230504,20898452.74,5,8944386.08
20230505,20466775.84,5,8945273.42
20230508,20421143.81,5,8946160.85
20230509,20234783.54,5,8947048.37
20230510,20022941.88,5,9006693.32
20230511,19906827.96,5,9007586.85
20230512,19668965.93,4,11421790.22
20230515,19806988.08,5,9422724.92
20230516,19917804.15,5,9423659.71
20230517,19929289.95,5,9424594.60
20230518,19965460.17,5,9425529.58
20230519,19976475.04,5,9426464.65
20230522,20004579.17,5,9427399.82
20230523,19884700.61,5,9428335.08
20230524,19700903.53,5,9429270.43
20230525,19795625.25,5,9430205.87
20230526,19726873.21,5,9431141.41
20230529,19681145.58,5,9432077.04
20230530,19827334.61,5,9433012.76
20230531,19554232.57,5,9433948.57
20230601,19584309.41,5,9434884.48
20230602,19672743.69,5,9435820.48
20230605,19744136.88,5,9436756.57
20230606,19709577.34,5,9437692.76
20230607,19584236.97,5,9438629.04
20230608,19707708.97,5,9439565.41
20230609,19859370.57,5,9440501.88
20230612,19730820.00,5,9441438.43
20230613,19900321.79,5,9442375.08
20230614,20125202.57,5,9443311.83
20230615,20232936.87,5,9444248.66
20230616,20465390.94,5,9445185.59
20230619,20621459.89,5,9446122.62
20230620,20716447.50,5,9447059.73
20230621,20509129.60,5,9447996.94
20230626,20279052.58,5,9448934.24
