date,equity,positions,cash
20221108,21838674.97,5,10408630.11
20221109,21704198.15,5,10409662.71
20221110,21501592.28,5,10410695.41
20221111,21721293.85,5,10411728.22
20221114,21844570.65,5,10412761.13
20221115,22192984.81,5,10413794.14
20221116,22139628.06,5,10414827.26
20221117,22350098.70,5,10415860.47
20221118,22121214.20,5,10416893.79
20221121,22164215.52,5,10417927.22
20221122,21895402.25,5,10418960.74
20221123,21665414.76,5,11697809.48
20221124,21694757.74,5,11698969.98
20221125,21493568.01,5,11700130.59
20221128,21331945.51,5,11701291.32
20221129,21583161.16,5,11702452.16
20221130,21545456.79,5,11703613.12
20221201,21759831.25,5,11704774.19
20221202,21797132.37,5,11705935.38
20221205,21597996.79,5,11707096.68
20221206,21759049.29,5,11708258.10
20221207,21748715.96,5,11709419.63
20221208,21820518.15,5,11710581.28
20221209,21861119.26,5,11711743.05
20221212,22032354.08,5,11712904.93
20221213,21651523.76,5,11714066.92
20221214,21688583.44,5,11715229.03
20221215,21980500.11,5,11716391.25
20221216,21960558.51,5,11717553.60
20221219,21606017.41,5,11718716.05
20221220,21712412.97,5,11719878.62
20221221,21537583.48,5,11721041.31
20221222,21171109.48,5,11460756.64
20221223,21057364.12,5,11461893.62
20221226,21299297.62,5,11463030.71
20221227,21479434.17,5,11464167.92
20221228,21446446.10,5,11465305.23
20221229,21300830.97,5,11466442.67
20221230,21206071.65,5,11467580.21
20230103,21378340.62,5,11468717.87
20230104,20934866.13,5,11469855.64
20230105,21127800.96,5,11470993.52
20230106,21183573.94,5,11472131.51
20230109,21386123.51,5,11473269.62
20230110,21513471.43,5,11474407.84
20230111,21453722.27,5,11475546.18
20230112,21473376.20,5,11476684.62
20230113,21513286.52,5,11477823.18
20230116,21706134.39,5,11478961.86
20230117,21947063.28,5,11480100.64
20230118,22121962.61,5,11481239.54
20230119,22190132.09,5,11482378.55
20230120,22329483.61,5,11483517.68
20230130,22518213.26,5,12169711.89
20230131,22390083.89,5,12170919.21
20230201,22717692.16,5,12172126.64
20230202,22677461.61,5,12173334.19
20230203,22560144.86,5,12174541.86
20230206,22420668.87,5,12175749.65
20230207,22508801.17,5,12176957.57
20230216,22577719.15,5,12178165.60
20230217,22358236.37,5,12179373.75
20230220,22714613.61,5,12180582.02
20230221,22854713.81,5,12181790.41
20230222,22732401.61,5,12182998.92
20230223,22652048.78,5,12184207.55
20230224,22595123.41,5,12185416.30
20230227,22556369.14,5,12186625.17
20230228,22695579.23,5,12187834.16
20230301,22896101.92,5,12189043.28
20230302,22776416.54,5,12190252.51
20230303,22697950.23,5,12191461.86
20230306,22658219.86,5,12192671.33
20230307,22417013.59,5,12193880.92
20230308,22354819.14,5,12387213.85
20230309,22573084.71,5,12388442.74
20230310,22397540.72,5,12389671.76
20230313,22546354.57,5,12390900.89
20230314,22845824.89,5,12392130.15
20230315,22880972.84,5,12393359.53
20230316,22680444.38,5,12394589.03
20230317,23067336.51,5,12395818.65
20230320,23517862.20,5,12397048.39
20230321,23387541.07,5,12398278.26
20230322,23677125.64,5,12399508.24
20230323,24040945.22,5,12400738.35
20230324,24093961.12,5,12401968.59
20230327,24065564.76,5,12403198.94
20230328,23671687.07,5,12404429.42
20230329,24010809.28,5,12405660.02
20230330,24170424.00,5,12406890.74
20230331,24367427.60,5,12408121.58
20230403,25022015.27,5,12409352.54
20230404,25018667.34,5,12410583.63
20230406,25713358.96,5,12411814.84
20230407,25686962.07,5,15719356.79
20230410,25484772.96,5,15720916.25
20230411,25581269.65,5,15722475.87
20230412,25748993.09,5,15724035.64
20230413,25468831.57,5,15725595.56
20230414,25706255.80,5,15727155.64
20230417,25708527.61,5,15728715.87
20230418,25574382.41,5,15730276.26
20230419,25572755.50,5,15731836.80
20230420,25730842.07,5,15733397.50
20230421,25261332.02,5,15734958.36
20230424,25091748.70,5,15736519.36
20230425,25075236.93,5,15738080.53
20230426,24990862.03,5,15739641.84
20230427,25030397.20,5,15741203.32
20230428,25102818.11,5,15742764.94
20230504,25098918.85,5,15744326.73
20230505,25102588.00,5,15745888.66
20230508,25174364.35,5,15747450.75
20230509,25079343.89,5,15749013.00
20230510,24833287.57,5,15750575.40
20230511,24842284.18,5,15424575.14
20230512,24661487.66,5,15426105.35
20230515,24814923.03,5,15427635.72
20230516,24692100.97,5,15429166.24
20230517,24711260.56,5,15430696.91
20230518,25192271.19,5,15432227.73
20230519,25252317.09,5,15433758.71
20230522,25379355.04,5,15435289.83
20230523,25392599.53,5,15436821.11
20230524,25371681.15,5,15438352.54
20230525,25361523.00,5,15439884.13
20230526,26112652.00,5,15441415.86
20230529,26384718.12,5,15442947.75
20230530,26666448.72,5,15444479.79
20230531,26748201.27,5,15446011.98
20230601,26703435.07,5,15447544.32
20230602,26627409.02,5,15449076.81
20230605,26689616.59,5,15450609.46
20230606,26429613.09,5,15452142.26
20230607,26440678.05,5,15453675.21
20230608,26236064.97,5,15455208.31
20230609,26561947.00,5,16594341.72
20230612,26849342.97,5,16595987.98
20230613,27165569.58,5,16597634.41
20230614,27815406.91,5,16599281.00
20230615,27604091.98,5,16600927.75
20230616,28081457.50,5,16602574.67
20230619,29005689.75,5,16604221.75
20230620,29095259.57,5,16605868.99
20230621,28415399.85,5,16607516.40
20230626,27925519.07,5,16609163.97
20230627,27793170.21,5,16610811.71
20230628,27413870.55,5,16612459.61
20230629,27519287.33,5,16614107.67
20230630,27732243.82,5,16615755.89
20230703,27529855.83,5,16617404.28
20230704,27509742.18,5,16619052.83
20230705,27393060.24,5,16620701.55
20230706,27480938.25,5,16622350.43
20230707,27201329.66,5,16623999.47
20230710,27105455.57,4,18600902.77
20230711,27292741.48,4,18602748.10
20230712,26719937.92,5,16752332.63
20230713,27264566.74,5,16753994.57
20230714,27489214.05,5,16755656.67
20230717,27293653.05,5,16757318.94
20230718,27133115.28,5,16758981.37
20230719,27158619.75,5,16760643.97
20230720,26973419.41,5,16762306.73
20230721,26725338.56,5,16763969.66
20230724,26737560.16,5,16765632.75
20230725,26967368.87,5,16767296.01
20230726,26923776.07,5,16768959.43
20230727,26768738.11,5,16770623.02
20230728,26810139.27,5,16772286.77
20230731,26883782.21,5,16773950.69
20230801,26985747.53,5,16775614.77
20230802,27045320.89,5,16777279.02
20230803,26925360.34,5,16778943.43
20230804,26902469.06,5,16780608.01
20230807,26980331.54,5,16782272.75
20230808,27035788.95,5,16783937.66
20230809,26780745.14,4,18603652.97
20230810,26756162.62,5,16788557.33
20230811,26544509.90,5,16790222.86
20230828,26354428.85,5,16791888.56
20230829,26457997.34,5,16793554.42
20230830,26462696.00,5,16795220.45
20230831,26321567.85,5,16796886.64
20230901,26323138.10,5,16798553.00
20230904,26554547.73,5,16800219.52
20230905,26542841.11,5,16801886.21
20230906,26334819.05,5,16803553.07
20230907,26182466.57,5,16805220.08
20230908,26144599.83,5,16806887.27
20230911,26411040.29,5,16808554.62
20230912,26413823.98,5,16810222.13
20230913,26326634.24,5,16811889.82
20230914,26354604.87,5,16813557.66
20230915,26420918.97,5,16815225.67
20230918,26528506.01,5,16816893.85
20230919,26465423.29,5,16818562.19
20230920,26371293.60,5,16820230.70
20230921,26255293.45,5,16821899.37
20230922,26366079.49,3,20385516.32
20230925,26268331.73,3,20387538.69
20230926,26219802.33,3,20389561.26
20230927,26224436.10,3,20391584.04
20230928,26397486.02,3,20393607.01
20231009,26469633.99,3,20395630.19
20231010,26592303.63,3,20397653.56
20231011,26631590.89,3,20399677.14
20231012,26713646.19,3,20401700.92
20231013,26642723.31,3,20403724.89
20231016,26474109.22,3,20405749.07
20231017,26385461.40,3,20407773.45
20231018,26223759.28,3,20409798.03
20231019,26179682.57,3,20411822.82
20231020,25975231.55,3,20413847.80
20231023,25783688.35,3,20415872.98
20231024,25986896.71,3,20417898.37
20231025,26051614.81,3,20419923.95
20231026,26097129.48,3,20421949.74
20231027,26262145.74,3,20423975.72
20231030,26364934.04,3,20426001.91
20231031,26242529.57,5,16274924.29
20231101,26301873.78,5,16276538.87
20231102,26045898.58,5,16278153.60
20231103,26462645.74,5,16279768.50
20231106,26716693.02,5,16281383.55
20231107,26810034.63,5,16282998.77
20231108,26867552.07,5,16284614.15
20231109,26997822.34,5,16286229.69
20231110,26811715.26,5,16287845.38
20231113,26842925.82,5,16289461.24
20231114,26986748.61,5,16291077.26
20231115,26957746.32,5,16292693.44
20231116,26892355.05,5,16294309.78
20231117,27113752.03,5,16295926.27
20231120,27289989.05,5,16297542.93
20231121,26972093.70,5,16299159.75
20231122,26843876.16,5,16300776.73
20231123,27123369.25,5,16302393.87
20231124,26915988.14,5,16304011.17
20231127,26944516.22,5,16305628.64
20231128,27072093.04,5,16307246.26
20231129,27052605.55,5,16660365.19
20231130,26951875.26,5,16662018.00
20231201,27246318.84,5,16663670.98
20231204,27252727.59,5,16665324.12
20231205,26705491.34,5,16666977.43
20231206,26658260.33,5,16668630.90
20231207,26672067.91,5,16670284.53
20231208,27100780.10,5,16671938.33
20231211,27120369.85,5,16673592.29
20231212,27175026.98,5,16675246.42
20231213,26894403.90,5,16676900.71
20231214,26891423.15,5,16678555.16
20231215,26617250.87,5,16680209.78
20231218,26579396.32,5,16681864.56
20231219,26691495.29,5,16683519.51
20231220,26366130.51,5,16685174.62
20231221,26704215.06,5,16686829.90
20231222,26611889.01,5,16688485.34
20231225,26571509.15,5,16690140.94
20240110,25812172.65,5,16691796.71
20240111,26017095.48,5,16693452.64
20240112,25883585.86,5,16302806.71
20240115,25881592.86,5,16304424.05
20240116,25903799.88,5,16306041.55
20240117,25656865.58,5,16307659.21
20240118,25793495.27,5,16309277.04
20240119,25773774.11,5,16310895.02
20240122,25418982.88,5,16312513.17
20240123,25594086.98,5,16314131.47
20240124,25492981.27,4,17717064.10
20240125,25785495.51,4,17718821.74
20240126,25484606.88,4,17720579.56
20240129,25267969.20,4,17722337.56
20240130,24988174.72,4,17724095.72
20240131,24782801.50,4,17725854.07
20240201,24852794.92,4,17727612.58
20240202,24607534.07,4,17729371.28
20240205,24430782.28,4,17731130.14
20240206,24925854.53,4,17732889.18
20240207,25090772.93,4,17734648.40
20240208,25353331.51,4,17736407.79
20240219,25426491.40,4,17738167.35
20240220,25385767.59,5,15588447.19
20240221,25319188.73,5,15589993.66
20240222,25590211.20,5,15591540.28
20240223,25600065.94,5,15593087.06
20240226,25730899.54,5,15594634.00
20240227,26066993.63,5,15596181.08
20240228,25621615.61,5,15597728.32
20240229,26013803.11,5,15599275.72
20240301,26434585.81,5,15600823.27
20240304,26542917.22,5,15602370.97
20240305,26445598.57,5,15603918.82
20240306,26356016.98,5,15605466.83
20240307,26293376.70,5,15607014.99
20240308,26490124.53,5,15608563.30
20240311,26616410.36,5,15610111.77
20240312,26657344.13,5,15611660.40
20240313,26558139.52,5,15613209.17
20240314,26407006.35,5,15614758.10
20240315,26528554.28,5,15616307.18
20240318,26876214.94,5,15617856.42
20240319,26824774.13,5,15619405.81
20240327,25889298.01,5,15921692.73
20240328,26289414.88,5,15923272.26
20240329,26337606.30,5,15924851.95
20240401,26441291.55,5,15926431.80
20240402,26300070.15,5,15928011.80
20240403,26038966.74,5,15929591.96
20240408,25841875.13,5,15931172.28
20240409,25952678.47,5,15932752.75
20240410,25850259.58,5,15934333.38
20240411,25906606.73,5,15935914.17
20240412,25923050.22,5,15937495.11
20240415,26018337.71,5,15939076.21
20240416,25755118.34,5,15940657.47
20240417,26050467.66,5,15942238.89
20240418,26050159.34,5,15943820.46
20240419,25853561.43,5,15945402.19
20240422,25821718.97,5,15946984.07
20240423,25834448.86,5,15948566.11
