date,equity,cash,positions
20241225,20681269.10,10073098.86,3
20241226,21267506.03,10074098.17,3
20241227,20930401.39,10075097.59,3
20241230,21163114.46,10076097.10,3
20241231,20638362.11,10566979.91,3
20250102,20235665.41,13689546.08,2
20250103,19862929.68,19862929.68,0
20250106,19864900.21,19864900.21,0
20250107,19866870.94,19866870.94,0
20250108,19857712.93,16535177.84,1
20250109,19853705.77,9869490.19,3
20250110,19494471.03,9870469.30,3
20250113,19262454.73,9871448.52,3
20250114,19844716.97,9872427.83,3
20250115,19772439.45,9873407.24,3
20250116,19529876.90,9874386.74,3
20250117,19917615.62,9875366.34,3
20250120,20029066.62,9876346.04,3
20250121,20186185.34,9877325.84,3
20250122,20773691.52,9878305.73,3
20250123,20374948.07,9699513.21,3
20250124,20236751.48,9883758.96,3
20250127,20013722.55,9592990.28,3
20250205,19180828.96,9096580.39,3
20250206,19965941.28,9097482.83,3
20250207,19922280.02,9098385.36,3
20250210,19617267.43,9099287.98,3
20250211,19559775.15,9100190.69,3
20250212,19508729.66,9101093.48,3
20250213,19195499.75,9061921.87,3
20250214,19267940.87,9195711.95,3
20250217,19605093.75,9196624.22,3
20250218,19210438.88,9002574.17,3
20250219,19293288.91,9003467.29,3
20250220,19151696.88,9004360.49,3
20250221,19544792.64,9005253.78,3
20250224,19168555.71,8976450.39,3
20250225,18835536.31,8696800.95,3
20250226,18862128.70,8697663.72,3
20250227,18772830.39,8791776.13,3
20250228,18230232.28,11807120.64,2
20250303,17945731.91,17945731.91,0
20250304,17947512.24,17947512.24,0
20250305,17949292.75,17949292.75,0
20250311,17917686.65,7950081.37,3
20250312,18173561.35,7950870.06,3
20250327,17916794.13,17916794.13,0
20250328,17907442.66,14584907.57,1
20250331,17949551.18,14586354.48,1
20250401,18130184.94,14587801.54,1
20250402,18055031.15,11255584.72,2
20250403,17764875.69,14274869.94,1
20250407,17605023.81,14276286.10,1
20250408,17594286.34,17594286.34,0
20250409,17584902.88,14262367.78,1
20250410,17540061.34,14263782.70,1
20250411,17488821.44,7597869.72,3
20250414,17303133.52,7598623.47,3
20250415,17203483.42,7422854.74,3
20250416,17262230.36,7423591.13,3
20250417,17385143.78,7232518.74,3
20250418,17479074.95,7233236.25,3
20250421,17204980.58,10232481.16,2
20250422,16916324.48,6899832.26,3
20250423,16940102.78,6810082.54,3
20250424,16770245.38,6759858.52,3
20250425,17060606.02,6760529.14,3
20250428,16989848.14,6761199.83,3
20250429,16971491.28,6761870.59,3
20250430,17066319.88,6762541.41,3
20250506,17357787.71,6763212.29,3
20250507,17302058.63,6763883.25,3
20250508,17791900.30,6764554.27,3
20250509,17651341.29,6736663.35,3
20250512,17905623.85,6737331.67,3
20250513,18012828.86,6738000.06,3
20250514,18127349.74,10361887.97,2
20250515,17861153.49,10304114.74,2
20250516,17889621.96,6971472.95,3
20250519,17626225.22,6972164.57,3
20250520,17663058.41,6972856.25,3
20250521,17654571.74,6973548.00,3
20250522,17568090.73,10032054.62,2
20250523,17403907.12,14081372.02,1
20250526,17399675.84,14082768.98,1
20250527,17261854.82,17261854.82,0
20250528,17263567.30,17263567.30,0
20250529,17254151.03,13931615.94,1
20250530,17320859.12,7265670.00,3
20250603,17194929.57,7266390.80,3
20250604,17644746.84,7267111.67,3
20250605,18494934.25,7267832.62,3
20250606,18682001.67,7268553.63,3
20250609,19096245.64,7269274.72,3
20250610,19116251.57,7269995.88,3
20250611,19114500.98,7270717.11,3
20250612,19573827.48,7271438.41,3
20250613,19432460.80,7272159.78,3
20250616,20073412.61,7272881.22,3
20250617,19963665.19,7273602.74,3
20250618,20560300.00,7274324.33,3
20250619,20566240.37,7275045.99,3
20250620,20212524.21,7275767.72,3
20250623,19885285.22,8028404.17,3
20250624,20010237.84,8029200.64,3
20250625,20427414.96,8029997.19,3
20250626,20934299.86,8030793.81,3
20250627,21416782.80,8031590.52,3
20250630,21721963.61,8032387.30,3
20250701,21800869.55,8033184.17,3
20250702,21512217.85,8033981.11,3
20250703,22043395.92,8034778.13,3
20250704,22008550.04,8013189.33,3
20250707,21879771.54,8013984.29,3
20250708,23076159.37,8014779.33,3
20250709,22949184.20,8015574.44,3
20250710,22484632.96,8016369.64,3
20250711,22387376.80,8017164.91,3
20250714,22306580.37,10409139.65,3
20250715,23399462.04,10410172.30,3
20250716,23813254.44,10411205.06,3
20250717,24555291.43,10412237.92,3
20250718,24784866.92,10413270.88,3
20250721,24851661.44,10414303.94,3
20250722,24709396.05,10415337.10,3
20250723,24603727.56,10794591.01,3
20250724,24979834.64,10795661.90,3
20250725,24959600.53,10796732.90,3
20250728,25306171.73,10797804.00,3
20250818,28259041.85,10798875.21,3
20250819,28868643.55,10799946.53,3
20250820,28934281.04,10801017.95,3
20250821,28918027.68,10850599.71,3
20250822,30071030.91,10851676.16,3
20250825,31437853.74,10852752.71,3
20250826,30543679.43,10853829.37,3
20250827,31956604.11,10854906.14,3
20250828,34072516.41,10855983.02,3
20250829,34430696.57,10857060.00,3
20250901,35566931.64,10858137.09,3
20250902,34459806.54,10859214.28,3
20250903,34744095.40,10860291.59,3
20250904,31803288.11,21486415.25,3
20250905,32429359.43,21488546.84,3
20250908,32353612.67,21475070.31,3
20250909,32401117.97,21477200.77,3
20250910,32208583.86,21479331.44,3
20250911,32052960.10,21440791.82,3
20250912,32419922.70,21442918.89,3
20250915,32922785.85,21445046.16,3
20250916,33212204.87,21447173.65,3
20250917,33603585.61,21449301.34,3
20250918,33477139.79,21451429.25,3
20250919,33502553.14,21453557.37,3
20250922,34105261.62,21455685.70,3
20250923,33956650.37,21457814.24,3
20250924,34126320.14,21459942.99,3
20250925,34056512.68,21462071.95,3
20250926,33572744.79,23221506.59,3
20250929,34228014.07,23223810.31,3
20250930,34071723.63,23226114.26,3
20251009,34347059.33,23228418.44,3
20251010,34054890.95,23230722.85,3
20251013,34808021.23,23093989.95,3
20251014,34272951.29,22916832.66,3
20251015,33810582.43,22776917.01,3
20251016,33545266.73,22779176.62,3
20251017,33128980.55,23598404.72,3
20251020,33245341.23,23309942.98,3
20251021,33561743.18,23312255.47,3
20251022,33630305.60,23053176.22,3
20251023,33513469.57,23055463.24,3
20251024,34649005.32,23057750.49,3
20251027,35059499.64,23060037.96,3
20251028,34965834.83,23062325.66,3
20251029,35038913.38,23064613.59,3
20251030,34881120.70,23066901.75,3
20251031,34614275.71,23389784.69,3
20251103,35039087.86,23392105.10,3
20251104,34983867.96,23394425.75,3
20251105,35552141.84,23396746.62,3
20251106,36048613.81,23399067.73,3
20251107,36115814.63,23410461.69,3
20251110,36735461.23,23358105.25,3
20251111,35699293.02,23070924.00,3
20251112,36170165.05,22815087.80,3
20251113,36205289.01,22817351.20,3
20251114,35236348.22,28605464.77,2
20251117,34992741.73,25181190.61,3
20251118,34744141.26,28222701.79,2
20251119,34849426.51,28225501.66,2
20251120,34811773.41,28228301.81,2
20251121,34268753.22,30946218.12,1
20251124,34633295.82,30949288.19,1
20251125,35374372.62,30952358.55,1
20251126,35487391.19,30955429.22,1
20251127,35686895.20,24291172.15,3
20251128,35539854.17,24293581.99,3
20251201,35451372.97,24295992.07,3
20251202,35036959.33,24298402.39,3
20251203,34870445.41,25177634.62,3
20251204,34821684.03,25021433.13,3
20251205,35098065.80,25023915.41,3
20251208,36199709.10,25026397.94,3
20251209,36435229.05,25028880.72,3
20251210,36810001.88,25031363.75,3
20251211,36500494.77,25033847.02,3
20251212,36669533.77,25511023.25,3
20251215,36040228.48,25513554.11,3
20251216,35468613.22,25196891.17,3
20251217,36210030.84,25199390.86,3
20251218,35951283.68,25201890.80,3
20260105,36610343.17,25656999.17,3
20260106,36591828.26,26343068.72,3
20260107,36951982.48,26345682.12,3
20260108,36840484.99,26348295.77,3
20260109,37055848.03,26350909.69,3
20260112,37000794.56,26353523.87,3
20260113,36905834.28,26356138.31,3
20260114,36706674.32,26251370.30,3
20260115,37141872.15,26253974.60,3
20260116,37486448.78,26065073.81,3
