K,LB,Trail,Pos,Sec,Floor,S,R,CAGR,MDD,CM,Trd,Win
1.0,10,0.28,8,1,0.8,1.319537953617259,1138.8788959212272,61.217470197343275,35.53016513640495,1.7229717329576542,433,52.19399538106235
2.0,10,0.28,8,3,0.8,1.319317841779089,1958.3340096830198,78.53180051816717,39.97990870143034,1.9642816371753642,115,63.47826086956522
2.0,10,0.28,10,3,0.8,1.319317841779089,1958.3340096830198,78.53180051816717,39.97990870143034,1.9642816371753642,115,63.47826086956522
2.0,10,0.35,5,1,0.8,1.3190720555543498,1971.5402756337912,78.75074359615952,39.97990870143034,1.9697579647885015,114,63.1578947368421
1.0,14,0.28,5,3,0,1.319015485987098,1251.7484999480096,63.907080697389084,44.167088910846594,1.4469389374153372,295,54.23728813559322
1.0,14,0.28,5,3,0.8,1.319015485987098,1251.7484999480096,63.907080697389084,44.167088910846594,1.4469389374153372,295,54.23728813559322
2.0,10,0.3,8,1,0.8,1.318818987349894,1963.058471006709,78.61025617995728,39.97990870143034,1.9662440143877786,115,63.47826086956522
2.0,10,0.3,10,1,0.8,1.318818987349894,1963.058471006709,78.61025617995728,39.97990870143034,1.9662440143877786,115,63.47826086956522
1.0,10,0.28,10,3,0.8,1.318118411506846,1045.4988322514266,58.83777843102265,35.31562213224282,1.6660552718198987,505,52.475247524752476
1.0,10,0.22,5,3,0,1.3175225929060306,1567.4081271050702,70.56640489048492,33.28706239373601,2.119934888089259,299,54.18060200668896
2.0,10,0.3,8,3,0.8,1.316968036697213,1946.7332369199873,78.33853561407673,39.97990870143034,1.9594475865142247,115,63.47826086956522
2.0,10,0.3,10,3,0.8,1.316968036697213,1946.7332369199873,78.33853561407673,39.97990870143034,1.9594475865142247,115,63.47826086956522
1.0,10,0.15,5,1,0,1.3156185385068353,1367.2986822938497,66.47822295725199,28.785938667413408,2.3093991731632304,300,50.33333333333333
1.0,10,0.22,5,1,0,1.3152221793207883,1535.71170802437,69.94634368101613,31.18703778361,2.242801774453092,299,52.84280936454849
1.0,14,0.22,8,3,0,1.315014495824698,976.4999047797718,56.976261239070624,31.997995735912472,1.780619689724009,454,53.524229074889874
1.0,14,0.22,8,3,0.8,1.315014495824698,976.4999047797718,56.976261239070624,31.997995735912472,1.780619689724009,454,53.524229074889874
1.0,14,0.22,10,3,0.8,1.314686954540026,907.1138115122457,55.004111913134054,33.61874061332132,1.636114586973518,540,52.96296296296297
1.0,10,0.28,8,1,0,1.3146407585578148,1094.9292147250596,60.116251244033506,32.95824363094933,1.8240125874784643,453,52.317880794701985
2.0,10,0.35,5,3,0.8,1.3142463205663464,1940.1417217317476,78.22832839620924,39.97990870143034,1.9566910214932658,113,62.83185840707964
