code,name,buy_date,sell_date,ret,exit,hold_days
002851,麦格米特,20251029,20251127,-0.1084,rebalance,21
300308,中际旭创,20251029,20251127,-0.0007,rebalance,21
000657,中钨高新,20251029,20251127,-0.1430,rebalance,21
601869,长飞光纤,20251029,20260112,0.2056,rebalance,42
601138,工业富联,20251127,20260112,0.0040,rebalance,21
603986,兆易创新,20251127,20260112,0.2956,rebalance,21
300502,新易盛,20251127,20260112,0.1408,rebalance,21
300620,光库科技,20251127,20260112,-0.0083,rebalance,21
300661,圣邦股份,20260112,20260225,-0.0443,rebalance,21
300373,扬杰科技,20260112,20260225,0.2731,rebalance,21
300054,鼎龙股份,20260112,20260225,0.0443,rebalance,21
603738,泰晶科技,20260112,20260225,0.1179,rebalance,21
300666,江丰电子,20260112,20260323,0.0836,trail,39
002837,英维克,20260225,20260326,-0.1358,rebalance,21
300502,新易盛,20260225,20260326,0.1885,rebalance,21
600460,士兰微,20260225,20260326,-0.2049,rebalance,21
600900,长江电力,20260225,20260326,0.0459,rebalance,21
601689,拓普集团,20260326,20260427,0.0042,rebalance,21
688037,芯源微,20260326,20260427,0.2837,rebalance,21
300661,圣邦股份,20260326,20260529,0.6263,rebalance,42
000657,中钨高新,20260427,20260529,0.2555,rebalance,21
603738,泰晶科技,20260427,20260529,0.1077,rebalance,21
000938,紫光股份,20260427,20260529,-0.1167,rebalance,21
601600,中国铝业,20260529,20260623,-0.2096,trail,16
603186,华正新材,20260529,20260630,0.6936,rebalance,21
601138,工业富联,20260529,20260630,-0.0239,rebalance,21
600460,士兰微,20260529,20260630,0.5701,rebalance,21
300308,中际旭创,20260529,20260630,0.0861,rebalance,21
603738,泰晶科技,20260630,20260707,-0.1793,trail,5
002837,英维克,20260630,20260717,-0.2315,trail,13
300604,长川科技,20260630,20260717,-0.1892,trail,13
601899,紫金矿业,20260630,20260723,0.3177,final,17
600030,中信证券,20260630,20260723,-0.0163,final,17
