date,equity,positions,cash
20210701,15032967.76,5,4520526.30
20210702,14882241.17,5,4520974.77
20210705,15130591.98,5,4521423.28
20210706,15222772.39,5,4521871.83
20210707,15415717.16,5,4522320.43
20210708,15619773.16,5,4522769.07
20210709,15720781.36,5,4523217.76
20210712,15584940.07,5,4523666.49
20210713,15246153.52,5,4524115.27
20210714,15464161.36,5,4524564.09
20210715,15403294.67,5,4525012.95
20210716,15255369.34,5,4525461.86
20210719,15521639.59,5,4525910.82
20210720,15777105.47,5,4526359.82
20210721,16292618.51,5,4526808.86
20210722,16864804.68,5,4527257.95
20210723,16922977.20,5,6955371.92
20210726,17125254.21,5,6956061.93
20210727,17078675.40,5,6956752.02
20210728,17129686.25,5,6957442.17
20210729,17672681.74,5,6958132.40
20210730,17721128.09,5,6958822.69
20210802,17927827.69,5,6959513.05
20210803,17718030.43,5,6960203.47
20210804,18044274.25,5,6960893.97
20210805,18106683.05,5,6961584.54
20210806,17864562.15,5,6962275.17
20210809,17844674.52,5,6962965.87
20210810,17720873.18,5,6963656.64
20210811,17704788.68,5,6964347.48
20210812,17922903.44,5,6965038.39
20210813,17564921.11,5,6965729.36
20210816,17439642.32,5,6966420.41
20210817,16897017.73,5,6967111.52
20210818,16783679.50,5,6967802.70
20210819,16842605.50,4,8826167.13
20210820,16747108.12,3,10398201.44
20210823,16853813.25,3,10873250.09
20210824,16837168.44,3,10874328.78
20210825,16833776.98,3,10875407.58
20210826,16570078.45,3,10876486.49
20210827,16625583.92,3,10877565.51
20210830,16560558.20,3,10878644.63
20210831,16517625.67,3,10879723.86
20210901,16550772.88,3,10880803.20
20210902,16350802.95,3,10881882.65
20210903,16349688.42,3,10882962.20
20210906,16503080.91,3,10884041.86
20210907,16515606.99,3,10885121.62
20210908,16561730.10,3,10886201.50
20210909,16553804.33,3,10887281.48
20210910,16755625.44,3,10888361.56
20210913,16580688.44,3,10889441.76
20210914,16723401.86,3,10890522.06
20210915,16775878.84,3,10891602.47
20210916,16609639.37,3,10892682.98
20210917,16641044.33,3,10893763.61
20210922,16821426.05,3,10894844.34
20210923,16845562.56,5,6877957.27
20210924,16951531.33,5,6878639.61
20210927,16675497.83,5,6879322.02
20210928,16749012.47,5,6880004.49
20210929,16630094.76,5,6880687.03
20210930,16778977.61,5,6881369.64
20211008,16884930.61,5,6882052.31
20211011,16960436.51,5,6882735.06
20211012,16706136.39,5,6883417.87
20211013,16762743.07,5,6884100.75
20211014,16911735.65,5,6884783.69
20211015,17342088.20,5,6885466.71
20211018,17396309.73,5,6886149.79
20211019,17557551.12,5,6886832.94
20211020,17388572.32,5,6887516.16
20211021,17324345.88,5,6888199.44
20211022,17421596.16,5,6888882.79
20211025,17413585.51,5,6889566.22
20211026,17390315.02,5,6890249.70
20211027,17247983.45,5,6890933.26
20211028,17000886.09,5,6891616.88
20211029,17108240.71,5,7140635.43
20211101,17354698.63,5,7141343.83
20211102,17695859.60,5,7142052.29
20211103,17372065.07,5,7142760.83
20211104,17692346.84,5,7143469.44
20211105,17332492.99,5,7144178.12
20211108,17690850.34,5,7144886.86
20211109,17743719.36,5,7145595.68
20211110,17913593.85,5,7146304.57
20211111,17897901.72,5,7147013.53
20211112,18206834.28,5,7147722.56
20211115,18032037.35,5,7148431.66
20211116,18017774.14,5,7149140.83
20211117,18386993.05,5,7149850.07
20211118,18365492.59,5,7150559.38
20211119,18577771.46,5,7151268.76
20211122,18821180.08,5,7151978.21
20211123,19234160.76,5,7152687.73
20211124,19287470.35,5,7153397.32
20211125,19043548.47,5,7154106.99
20211126,18806997.07,5,7154816.72
20211213,19431416.67,5,9463811.38
20211214,19279467.63,5,9464750.25
20211215,19187410.27,5,9465689.22
20211216,19236100.85,5,9466628.27
20211217,19144999.15,5,9467567.42
20211220,19179470.03,5,9468506.67
20211221,19313884.14,5,9469446.00
20211222,19337957.37,5,9470385.43
20211223,19791278.51,5,9471324.95
20211224,19689603.16,5,9472264.57
20211227,19437983.89,5,9473204.28
20211228,19484845.08,5,9474144.08
20211229,19288806.06,5,9475083.98
20211230,19501633.34,5,9476023.96
20211231,19438067.07,5,9476964.05
20220104,19388100.88,5,9477904.22
20220105,19111755.63,5,9478844.49
20220106,19102040.37,5,9479784.85
20220107,19060235.14,5,9480725.31
20220210,19208098.86,5,9481665.85
20220211,19011513.54,5,9482606.50
20220214,18866937.85,5,8899332.57
20220215,19029703.29,5,8900215.44
20220216,19099597.87,5,8901098.40
20220217,19173529.70,5,8901981.44
20220218,19251464.85,5,8902864.58
20220221,19323010.00,5,8903747.80
20220222,19204351.31,5,8904631.11
20220223,19247765.84,5,8905514.50
20220224,19068311.07,5,8906397.99
20220225,19121616.17,5,8907281.56
20220228,19150234.51,5,8908165.22
20220301,19351851.05,5,8909048.96
20220302,19288148.94,5,8909932.80
