K,LB,Trail,Pos,Sec,Floor,S,R,CAGR,MDD,CM,Trd,Win,Neg
0.5,30,0.28,5,1,0.8,1.5223586542883936,405.1355838890855,97.21492475464686,35.19307831239599,2.762330816636891,125,55.2,0
2.5,30,0.22,8,3,0,1.5202079033499236,300.24351481035836,78.8773210650199,31.529428423169538,2.501704756787045,176,52.27272727272727,0
2.5,30,0.18,8,1,0.8,1.5194523805840898,333.6781096695272,84.99716598859625,40.0107690728079,2.124357215776739,148,52.02702702702703,1
1.0,10,0.1,8,3,0.8,1.5147803769007546,222.18716796578244,63.32413869864253,27.33716756610355,2.316411842796789,216,45.370370370370374,0
2.5,30,0.22,8,1,0.8,1.5136844120310664,341.4743427762979,86.38442326040992,40.90002499545349,2.1120872975019584,148,52.702702702702695,1
1.5,14,0.3,8,1,0,1.5078899907910632,333.89906246152026,85.03668070819357,29.812196776528125,2.8524124319193085,195,56.92307692307692,0
1.5,14,0.3,8,3,0,1.50663655239924,335.0357500211532,85.2397790070081,31.430470187348458,2.712010940304648,197,57.868020304568525,0
0.5,14,0.28,8,3,0,1.5062097201933624,304.35399139920565,79.64531760556537,31.967850994851222,2.491419195440855,201,57.711442786069654,0
0.5,14,0.28,8,3,0.8,1.5062097201933624,304.35399139920565,79.64531760556537,31.967850994851222,2.491419195440855,201,57.711442786069654,0
1.0,14,0.22,8,3,0,1.5060029359614626,316.63261339777563,81.91280268194004,26.223488973146345,3.1236424247674,212,50.0,0
1.0,14,0.22,8,3,0.8,1.5060029359614626,316.63261339777563,81.91280268194004,26.223488973146345,3.1236424247674,212,50.0,0
1.0,14,0.28,8,1,0,1.505777526928167,320.95956783153844,82.70259693139221,24.200913771718792,3.4173336474608056,211,49.28909952606635,0
1.0,14,0.28,8,1,0.8,1.505777526928167,320.95956783153844,82.70259693139221,24.200913771718792,3.4173336474608056,211,49.28909952606635,0
1.0,10,0.1,5,3,0,1.5056674631266378,282.37326450619577,75.48406864788102,32.10334358551099,2.3512837049767237,142,43.66197183098591,0
1.0,10,0.1,5,3,0.8,1.5056674631266378,282.37326450619577,75.48406864788102,32.10334358551099,2.3512837049767237,142,43.66197183098591,0
0.5,30,0.22,5,1,0,1.5011126344393588,391.7104856480873,94.99998873596186,38.08000554626261,2.4947472400062636,126,54.761904761904766,0
0.5,30,0.22,5,1,0.8,1.5011126344393588,391.7104856480873,94.99998873596186,38.08000554626261,2.4947472400062636,126,54.761904761904766,0
1.5,14,0.35,8,1,0.8,1.5006292780663157,334.1491374187208,85.08138947902837,29.951757152879306,2.840614293337023,190,55.78947368421052,0
2.5,30,0.35,8,1,0.8,1.4996687749276323,339.16130198719935,85.9743367358768,40.61184320331065,2.1169769691435287,148,52.702702702702695,1
1.5,14,0.28,8,1,0,1.4992268922586558,328.7107564110117,84.10571111560049,29.40825891811109,2.8599350729942037,195,56.92307692307692,0
2.0,21,0.28,8,1,0,1.4991139341087516,359.71697538527314,89.57586895502423,31.985779174463758,2.8004904450330925,149,51.006711409395976,0
1.5,14,0.28,8,3,0,1.4990196109871354,330.3363832197993,84.3981077339492,31.0411892269813,2.7189070340317234,197,57.868020304568525,0
2.0,21,0.3,8,1,0,1.4989075479779341,356.4050792331059,89.00200858722465,31.350862900544712,2.8389014002443376,148,51.35135135135135,0
1.5,14,0.22,8,3,0,1.4979556909348655,320.54971016924856,82.62798877984945,30.64452217452493,2.696337972224571,197,56.852791878172596,0
0.5,14,0.35,8,1,0,1.4978227489791773,298.31674365205305,78.51574861355424,26.808904251059317,2.9287190508896606,200,56.00000000000001,0
0.5,14,0.35,8,1,0.8,1.4978227489791773,298.31674365205305,78.51574861355424,26.808904251059317,2.9287190508896606,200,56.00000000000001,0
2.0,30,0.18,8,1,0,1.497321694195256,285.8912827016138,76.1592465586028,35.1662591223723,2.1656908769733576,205,48.292682926829265,0
0.5,10,0.22,8,3,0,1.4956000942206318,276.18642206743107,74.28788383402495,32.77531871598061,2.2665800591529757,208,57.21153846153846,0
0.5,10,0.22,8,3,0.8,1.4956000942206318,276.18642206743107,74.28788383402495,32.77531871598061,2.2665800591529757,208,57.21153846153846,0
1.5,14,0.22,8,1,0,1.491899038379811,315.592728146356,81.72228446016132,28.329664718001613,2.8846894332721225,196,56.63265306122449,0
1.5,14,0.35,8,3,0.8,1.491858458177545,330.5200497649369,84.43110292982759,31.5856021810365,2.6730882775608027,193,56.476683937823836,0
2.5,30,0.18,8,3,0.8,1.488218394941231,319.1375194918204,82.37059776585491,39.08185025904952,2.1076432466700257,153,51.633986928104584,1
1.0,10,0.1,8,1,0.8,1.4854202012906288,210.97463550774242,60.91634246274129,26.139815571671082,2.3304044474116004,214,45.794392523364486,0
0.5,14,0.22,8,3,0,1.485338337371657,288.38052257891906,76.6348246995952,33.17154606219977,2.3102578503847147,204,55.88235294117647,0
0.5,14,0.22,8,3,0.8,1.485338337371657,288.38052257891906,76.6348246995952,33.17154606219977,2.3102578503847147,204,55.88235294117647,0
2.5,30,0.3,8,1,0.8,1.4842857086786403,330.68848694637995,84.46135502714962,40.61184320331073,2.0797222771771224,148,52.702702702702695,1
2.5,30,0.35,8,3,0,1.4834393966375916,290.661601439963,77.06908117784039,36.73774456377063,2.09781743797748,175,52.57142857142857,0
