code,name,buy_date,sell_date,buy_px,sell_px,ret,pnl,exit,hold_days,dev_at_buy
601689,拓普集团,20230512,20230601,34.8128,37.3893,0.074010,246699.43,ma10,14,0.037399
300476,胜宏科技,20230523,20230606,17.1455,22.2363,0.296914,989714.48,trail,10,0.097528
300475,香农芯创,20230524,20230606,22.4226,25.4243,0.133868,446225.01,trail,9,0.062799
300502,新易盛,20230601,20230608,28.8334,26.9784,-0.064334,-214445.13,ma10,5,0.100700
601899,紫金矿业,20230606,20230621,9.9924,10.3012,0.030909,103030.28,ma10,11,0.036000
300757,罗博特科,20230608,20230627,53.5134,60.0440,0.122037,406791.44,trail,11,0.055244
300620,光库科技,20230621,20230628,67.4886,56.2881,-0.165961,-553204.44,trail,3,0.115830
601689,拓普集团,20230606,20230703,41.1533,50.7888,0.234137,780456.37,ma10,17,0.030706
002851,麦格米特,20230627,20230705,35.1438,34.8588,-0.008111,-27037.45,ma10,6,0.062985
300502,新易盛,20230704,20230705,35.5150,32.7368,-0.078228,-260760.34,ma10,1,0.074949
300476,胜宏科技,20230704,20230710,21.6401,20.5228,-0.051633,-172111.40,ma10,4,0.043342
300502,新易盛,20230705,20230710,32.9668,31.9398,-0.031153,-103843.88,ma10,3,0.061374
688008,澜起科技,20230705,20230712,61.6999,57.6829,-0.065105,-217018.27,ma10,5,0.055883
300620,光库科技,20230710,20230712,66.7864,56.3878,-0.155700,-518998.37,trail,2,0.048347
300475,香农芯创,20230710,20230720,31.7830,41.4340,0.303656,1012185.72,trail,8,0.122109
300476,胜宏科技,20230720,20230721,22.0414,21.6684,-0.016921,-56403.70,ma10,1,0.030430
600584,长电科技,20230714,20230725,34.4616,33.6832,-0.022588,-75293.87,ma10,7,0.032611
601899,紫金矿业,20230714,20230803,11.3869,11.4668,0.007021,23404.11,ma10,14,0.038144
300394,天孚通信,20230803,20230809,32.8364,32.5873,-0.007584,-25280.40,trail,4,0.030375
600030,中信证券,20230727,20230811,19.4029,21.8378,0.125494,418313.87,ma10,11,0.038501
002050,三花智控,20230830,20230904,29.0541,27.3770,-0.057726,-192419.07,ma10,3,0.038148
603259,药明康德,20230802,20230906,69.7760,72.4772,0.038712,129039.05,ma10,15,0.038604
600276,恒瑞医药,20230829,20230906,41.7854,39.9795,-0.043217,-144057.62,ma10,6,0.033948
688037,芯源微,20230904,20230912,99.6328,98.1804,-0.014577,-48589.11,ma10,6,0.076277
603738,泰晶科技,20230906,20230914,16.0821,15.3622,-0.044765,-149218.20,ma10,6,0.059175
601600,中国铝业,20230906,20230918,6.3706,6.1369,-0.036690,-122299.38,ma10,8,0.073806
300620,光库科技,20230912,20230918,51.5670,45.5286,-0.117099,-390328.38,trail,4,0.051579
601088,中国神华,20230918,20230927,24.7803,24.2388,-0.021853,-72841.87,ma10,7,0.032508
300394,天孚通信,20230922,20231012,30.5791,28.9112,-0.054543,-181811.24,trail,8,0.042200
300308,中际旭创,20230925,20231012,75.2638,74.1409,-0.014919,-49731.29,ma10,7,0.049007
300757,罗博特科,20230927,20231016,50.6942,51.0479,0.006976,23252.32,trail,7,0.039126
300475,香农芯创,20231012,20231016,31.7830,29.5986,-0.068728,-229092.62,ma10,2,0.048160
688008,澜起科技,20231012,20231018,52.6706,49.6830,-0.056723,-189076.77,ma10,4,0.042121
603738,泰晶科技,20231016,20231020,17.9582,16.5278,-0.079651,-265503.50,ma10,4,0.064655
300054,鼎龙股份,20231018,20231020,22.3725,21.4692,-0.040375,-134583.16,ma10,2,0.033156
603186,华正新材,20231016,20231023,42.2368,36.6819,-0.131518,-438393.12,trail,5,0.094555
300604,长川科技,20231025,20231113,37.6821,39.6009,0.050923,169741.87,ma10,13,0.037236
002384,东山精密,20231027,20231114,18.2892,18.6498,0.019714,65713.02,ma10,12,0.037609
300054,鼎龙股份,20231030,20231116,23.5463,23.7108,0.006985,23283.58,ma10,13,0.041463
300475,香农芯创,20231116,20231121,39.8090,36.6122,-0.080303,-267676.13,trail,3,0.087071
300502,新易盛,20231113,20231122,21.1084,21.0707,-0.001786,-5952.22,ma10,7,0.091819
300757,罗博特科,20231121,20231122,52.5703,49.8723,-0.051322,-171074.10,ma10,1,0.053884
000977,浪潮信息,20231114,20231127,34.6422,34.6296,-0.000363,-1209.75,ma10,9,0.039341
603738,泰晶科技,20231129,20231201,17.6371,16.7171,-0.052166,-173886.90,ma10,2,0.033485
300620,光库科技,20231129,20231206,48.2262,47.5709,-0.013588,-45292.78,ma10,5,0.060126
300604,长川科技,20231130,20231207,40.1300,39.1128,-0.025348,-84494.14,ma10,5,0.034904
002466,天齐锂业,20231207,20231213,55.0584,50.4003,-0.084602,-282008.19,ma10,4,0.046829
300502,新易盛,20231201,20231215,24.4793,24.9063,0.017441,58137.56,ma10,10,0.032370
300394,天孚通信,20231206,20231220,28.5425,31.2524,0.094943,316475.85,trail,10,0.058888
600183,生益科技,20231213,20240110,16.3329,14.1966,-0.130800,-436000.59,trail,9,0.038861
300757,罗博特科,20231225,20240110,56.9545,48.8362,-0.142541,-475135.25,trail,1,0.035701
000657,中钨高新,20240111,20240115,8.7283,8.0198,-0.081169,-270562.24,ma10,2,0.044280
