date,equity,cash,positions
20230630,27179078.93,4741357.50,4
20230703,27278838.85,4741827.87,4
20230704,27239481.20,4742298.29,4
20230705,26504325.49,4742768.76,4
20230706,26476097.31,4743239.27,4
20230707,27141796.93,4743709.83,4
20230710,26820530.85,4744180.43,4
20230711,27439227.44,4744651.09,4
20230712,26541128.69,4745121.79,4
20230713,28298365.95,4745592.53,4
20230714,28440478.61,4746063.33,4
20230717,28590119.55,4746534.17,4
20230718,27962760.96,4747005.05,4
20230719,27832776.29,4747475.98,4
20230720,26009927.35,4747946.96,4
20230721,26014599.30,4748417.99,4
20230724,26041701.50,4748889.06,4
20230725,26533727.53,4749360.18,4
20230726,26090375.14,4749831.35,4
20230727,25952326.01,4750302.56,4
20230728,25910943.43,4750773.82,4
20230731,26089700.08,4751245.13,4
20230801,26799762.31,4751716.49,4
20230802,26539728.78,4752187.89,4
20230803,26230551.77,4752659.33,4
20230804,27177730.48,4753130.83,4
20230807,27378143.32,4753602.37,4
20230808,26739403.36,4754073.96,4
20230809,25972142.76,4754545.59,4
20230810,25634441.25,4755017.27,4
20230811,25256991.06,4755489.00,4
20230828,24222725.68,12675191.41,4
20230829,24278668.76,12676448.87,4
20230830,24367714.27,12677706.45,4
20230831,24345862.69,12678964.16,4
20230901,24428124.27,12680222.00,4
20230904,24451642.10,12681479.96,4
20230905,24472523.09,12682738.04,4
20230906,24439389.75,12683996.25,4
20230907,24402225.20,12685254.58,4
20230908,24370886.17,12686513.04,4
20230911,24442868.66,12687771.62,4
20230912,24449061.41,12689030.33,4
20230913,24423838.27,12690289.16,4
20230914,24528656.57,12691548.12,4
20230915,24505675.23,12692807.20,4
20230918,24522054.74,12694066.41,4
20230919,24577172.78,12695325.74,4
20230920,24582436.59,12696585.20,4
20230921,24499624.95,12697844.78,4
20230922,24500125.16,12699104.48,4
20230925,24535376.22,12700364.32,4
20230926,24508058.19,12701624.27,4
20230927,24382092.99,12702884.36,4
20230928,24365333.70,12704144.56,4
20231009,24460622.39,12705404.89,4
20231010,24401845.65,12706665.35,4
20231011,24394432.84,12707925.93,4
20231012,24504981.76,12709186.64,4
20231013,24395579.52,12710447.47,4
20231016,24459404.56,12711708.43,4
20231017,24442762.32,12712969.51,4
20231018,24436160.45,12714230.72,4
20231019,24160670.18,12715492.05,4
20231020,24020457.24,12716753.51,4
20231023,23931177.44,12718015.09,4
20231024,24078375.17,12719276.80,4
20231025,24106475.71,12720538.63,4
20231026,24271067.67,12721800.59,4
20231027,24197288.79,12723062.67,4
20231030,24295254.02,12724324.88,4
20231031,24302907.18,12725587.22,4
20231101,24279005.02,12726849.67,4
20231102,24209581.70,12728112.26,4
20231103,24221567.47,12729374.97,4
20231106,24194141.11,12730637.80,4
20231107,24256376.68,12731900.76,4
20231108,24174407.62,12733163.85,4
20231109,24266617.45,12734427.06,4
20231110,24223017.71,12735690.40,4
20231113,24257720.60,12736953.86,4
20231114,24227556.01,12738217.44,4
20231115,24396347.74,12739481.16,4
20231116,24368336.45,12740744.99,4
20231117,24446240.10,12742008.96,4
20231120,24446854.10,12743273.04,4
20231121,24454830.51,12744537.26,4
20231122,24322338.68,12745801.60,4
20231123,24398158.94,12747066.06,4
20231124,24330727.24,12748330.65,4
20231127,24306605.60,12749595.37,4
20231128,24383474.14,12750860.21,4
20231129,24452318.94,12752125.17,4
20231130,24541337.50,12753390.27,4
20231201,24444155.64,12754655.48,4
20231204,24576149.06,12755920.83,4
20231205,24296243.62,12757186.29,4
20231206,24246710.20,12758451.89,4
20231207,24267124.64,12759717.61,4
20231208,24230004.91,12760983.45,4
20231211,24362640.75,12762249.42,4
20231212,24373531.84,12763515.52,4
20231213,24368285.80,12764781.74,4
20231214,24343938.88,12766048.09,4
20231215,24339362.39,12767314.56,4
20231218,24445586.45,12768581.16,4
20231219,24493136.14,12769847.88,4
20231220,24555765.93,12771114.73,4
20231221,24516542.20,12772381.71,4
