序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,买入牛熊,买入池,峰值价,退出类型,触发详情
137,515880,通信ETF,2025-09-02,2025-09-04,0.4252,0.3928,-7.63,-2113232.0,2,牛,all,0.433,Trail止损3%,价0.393≤peak0.433×(1-3%)
138,515880,通信ETF,2025-09-04,2025-09-08,0.3932,0.3988,1.42,361972.0,4,牛,all,0.42,Trail止损3%,价0.399≤peak0.420×(1-3%)
139,515880,通信ETF,2025-09-08,2025-09-11,0.3992,0.4498,12.66,3283627.0,3,牛,all,0.45,趋势全空,MA5<MA15且MA8斜率-0.0049<0
140,518800,黄金ETF,2025-09-11,2025-10-20,8.3096,9.7117,16.87,4931156.0,39,牛,all,10.03,Trail止损3%,价9.717≤peak10.030×(1-3%)
141,518800,黄金ETF,2025-10-20,2025-10-22,9.7223,9.5398,-1.88,-641479.0,2,牛,all,9.948,Trail止损3%,价9.545≤peak9.948×(1-3%)
142,159937,博时黄金ETF,2025-10-22,2025-10-28,9.087,8.5723,-5.66,-1898354.0,6,牛,all,9.082,Trail止损3%,价8.577≤peak9.082×(1-3%)
143,159509,纳指科技ETF,2025-10-28,2025-11-05,2.2602,2.2108,-2.19,-691831.0,8,牛,all,2.291,Trail止损3%,价2.212≤peak2.291×(1-3%)
144,515880,通信ETF,2025-11-05,2025-11-07,0.4492,0.4547,1.22,378790.0,2,牛,all,0.46,趋势全空,MA5<MA15且MA8斜率-0.0025<0
145,513100,纳指ETF,2025-11-07,2025-11-10,1.9251,1.9499,1.29,404387.0,3,牛,all,1.951,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0007<0"
146,159301,自由现金流ETF,2025-11-10,2025-11-18,1.0156,0.9795,-3.55,-1127019.0,8,牛,all,1.015,Trail止损3%,价0.980≤peak1.015×(1-3%)
147,518800,黄金ETF,2025-11-18,2025-11-24,9.2061,9.2849,0.86,261855.0,6,牛,all,9.384,趋势全空,MA5<MA15且MA8斜率-0.0005<0
148,511260,十年国债ETF,2025-11-24,2025-11-27,132.5509,131.9944,-0.42,-129488.0,3,牛,all,132.478,趋势全空,MA5<MA15且MA8斜率-0.0000<0
149,159509,纳指科技ETF,2025-12-01,2025-12-15,2.2692,2.3037,1.52,466731.0,14,牛,all,2.395,Trail止损3%,价2.305≤peak2.395×(1-3%)
150,515880,通信ETF,2025-12-15,2025-12-23,0.4843,0.5117,5.67,1767515.0,8,牛,all,0.514,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0013<0"
151,588170,科创半导体ETF,2025-12-23,2026-01-13,0.5103,0.5607,9.88,3254865.0,21,牛,all,0.584,Trail止损3%,价0.561≤peak0.584×(1-3%)
152,588170,科创半导体ETF,2026-01-13,2026-01-22,0.5613,0.6177,10.04,3634430.0,9,牛,all,0.639,Trail止损3%,价0.618≤peak0.639×(1-3%)
153,588170,科创半导体ETF,2026-01-22,2026-01-26,0.6183,0.6037,-2.37,-945246.0,4,牛,all,0.627,Trail止损3%,价0.604≤peak0.627×(1-3%)
154,588170,科创半导体ETF,2026-01-26,2026-01-29,0.6043,0.6027,-0.28,-107075.0,3,牛,all,0.631,Trail止损3%,价0.603≤peak0.631×(1-3%)
155,518880,华安黄金ETF,2026-01-29,2026-01-30,11.9105,11.0029,-7.62,-2955406.0,1,牛,all,11.904,Trail止损3%,价11.009≤peak11.904×(1-3%)
