序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,牛熊,池模式,峰值价,退出类型,触发详情
61,510880,红利ETF,2022-10-20,2022-10-27,2.3803,2.3077,-3.05,-347260.0,7,熊,def,2.392,趋势全空,MA6<MA15 且 MA8斜率=-0.0052<0
62,510880,红利ETF,2022-12-02,2022-12-13,2.4193,2.4167,-0.11,-12139.0,11,熊,def,2.471,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0001<0 (动能走弱)"
63,512890,中证红利低波ETF,2023-01-06,2023-03-15,0.8275,0.8925,7.86,867131.0,68,牛,def,0.895,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0004<0 (动能走弱)"
64,512480,半导体ETF,2023-03-15,2023-03-28,0.4532,0.4657,2.76,327949.0,13,牛,all,0.49,Trail止损3%,价格0.466≤peak×(1-3%)=0.475
65,515880,通信ETF,2023-03-28,2023-04-10,0.1761,0.1879,6.7,819137.0,13,牛,all,0.195,Trail止损3%,价格0.188≤peak×(1-3%)=0.189
66,588200,科创芯片ETF,2023-04-10,2023-04-13,0.4813,0.4687,-2.6,-339397.0,3,牛,all,0.484,Trail止损3%,价格0.469≤peak×(1-3%)=0.469
67,588200,科创芯片ETF,2023-04-13,2023-04-21,0.4693,0.4867,3.72,473082.0,8,牛,all,0.516,Trail止损3%,价格0.487≤peak×(1-3%)=0.501
68,588200,科创芯片ETF,2023-04-21,2023-04-25,0.4873,0.4677,-4.01,-528029.0,4,牛,all,0.487,Trail止损3%,价格0.468≤peak×(1-3%)=0.472
69,588200,科创芯片ETF,2023-04-25,2023-04-26,0.4683,0.4498,-3.95,-499885.0,1,牛,all,0.468,Trail止损3%,价格0.450≤peak×(1-3%)=0.454
70,510880,红利ETF,2023-05-10,2023-05-18,2.7285,2.6935,-1.28,-155768.0,8,熊,all,2.727,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0009<0 (动能走弱)"
71,512890,中证红利低波ETF,2023-06-08,2023-06-19,0.9465,0.9175,-3.07,-367789.0,11,熊,def,0.949,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0001<0 (动能走弱)"
72,510050,上证50ETF,2023-08-02,2023-08-14,2.5254,2.4467,-3.12,-362464.0,12,牛,def,2.551,Trail止损3%,价格2.448≤peak×(1-3%)=2.474
73,510880,红利ETF,2023-08-30,2023-09-11,2.6124,2.6176,0.2,22090.0,12,熊,def,2.652,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0007<0 (动能走弱)"
74,510050,上证50ETF,2023-09-12,2023-09-19,2.4363,2.4337,-0.11,-12407.0,7,熊,def,2.436,趋势全空,MA6<MA15 且 MA8斜率=-0.0021<0
75,159937,博时黄金ETF,2023-09-27,2023-10-09,4.5075,4.3976,-2.44,-274852.0,12,熊,def,4.505,趋势全空,MA6<MA15 且 MA8斜率=-0.0014<0
76,518800,黄金ETF,2023-12-05,2023-12-13,4.8016,4.7414,-1.25,-138001.0,8,熊,def,4.813,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0006<0 (动能走弱)"
77,510880,红利ETF,2024-01-11,2024-01-18,2.5804,2.5546,-1.0,-108687.0,7,熊,def,2.618,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0005<0 (动能走弱)"
78,512890,中证红利低波ETF,2024-02-01,2024-03-06,0.9465,1.0174,7.49,805583.0,34,熊,def,1.023,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0001<0 (动能走弱)"
79,510880,红利ETF,2024-03-12,2024-03-15,2.8025,2.7845,-0.64,-74529.0,3,牛,def,2.801,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0018<0 (动能走弱)"
80,510880,红利ETF,2024-04-22,2024-04-26,2.9376,2.8774,-2.05,-235305.0,4,牛,def,2.936,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0003<0 (动能走弱)"
81,513050,中概互联ETF,2024-04-30,2024-05-23,1.0106,1.0954,8.4,944276.0,23,牛,all,1.149,Trail止损3%,价格1.096≤peak×(1-3%)=1.115
82,513050,中概互联ETF,2024-05-23,2024-05-28,1.0966,1.0964,-0.02,-2292.0,5,牛,all,1.097,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0024<0 (动能走弱)"
83,515050,5G通信ETF,2024-05-28,2024-05-29,0.3072,0.3048,-0.76,-92723.0,1,牛,all,0.307,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0008<0 (动能走弱)"
84,515050,5G通信ETF,2024-06-11,2024-06-24,0.3142,0.3328,5.93,717856.0,13,牛,all,0.349,Trail止损3%,价格0.333≤peak×(1-3%)=0.339
85,159509,纳指科技ETF,2024-06-24,2024-06-25,1.6759,1.6181,-3.45,-442041.0,1,牛,all,1.675,Trail止损3%,价格1.619≤peak×(1-3%)=1.625
86,159509,纳指科技ETF,2024-06-25,2024-07-02,1.6199,1.6961,4.7,581819.0,7,熊,all,1.717,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0002<0 (动能走弱)"
87,510880,红利ETF,2024-07-10,2024-07-17,2.8836,2.8824,-0.04,-5262.0,7,熊,all,2.91,趋势全空,MA6<MA15 且 MA8斜率=-0.0031<0
88,515050,5G通信ETF,2024-07-17,2024-07-24,0.3452,0.3238,-6.19,-801568.0,7,熊,all,0.345,Trail止损6%,价格0.324≤peak×(1-6%)=0.324
89,588890,科创AIETF,2024-07-24,2024-07-31,1.0826,1.1434,5.61,681942.0,7,熊,all,1.144,趋势全空,MA6<MA15 且 MA8斜率=-0.0051<0
